,dataset,d,n_train,test_size,seed,accuracy,brier,balanced,device
137,iris_class1_vs_class2,1,2,0.1,4,0.5,0.2522298008203506,True,ibmq_qasm_simulator
138,iris_class1_vs_class2,2,4,0.1,4,0.5,0.25684536844491956,True,ibmq_qasm_simulator
139,iris_class1_vs_class2,3,8,0.1,4,0.6,0.23145996928215026,True,ibmq_qasm_simulator
140,iris_class1_vs_class2,0,1,0.1,5,0.4,0.4991927772760391,False,ibmq_qasm_simulator
141,iris_class1_vs_class2,1,2,0.1,5,0.2,0.2631729006767273,True,ibmq_qasm_simulator
142,iris_class1_vs_class2,2,4,0.1,5,0.0,0.2677288219332695,True,ibmq_qasm_simulator
143,iris_class1_vs_class2,3,8,0.1,5,0.4,0.26014343947172164,True,ibmq_qasm_simulator
144,iris_class1_vs_class2,0,1,0.1,6,0.3,0.6380046427249908,False,ibmq_qasm_simulator
145,iris_class1_vs_class2,1,2,0.1,6,0.8,0.2458522289991379,True,ibmq_qasm_simulator
146,iris_class1_vs_class2,2,4,0.1,6,0.6,0.24897029399871826,True,ibmq_qasm_simulator
147,iris_class1_vs_class2,3,8,0.1,6,0.7,0.2370486557483673,True,ibmq_qasm_simulator
148,iris_class1_vs_class2,0,1,0.1,7,0.3,0.5844265446066856,False,ibmq_qasm_simulator
149,iris_class1_vs_class2,1,2,0.1,7,0.5,0.2462418034672737,True,ibmq_qasm_simulator
150,iris_class1_vs_class2,2,4,0.1,7,0.5,0.2545914128422737,True,ibmq_qasm_simulator
151,iris_class1_vs_class2,3,8,0.1,7,0.5,0.25077119916677476,True,ibmq_qasm_simulator
152,iris_class1_vs_class2,0,1,0.1,8,0.5,0.4608638107776642,False,ibmq_qasm_simulator
153,iris_class1_vs_class2,1,2,0.1,8,0.8,0.21737907379865645,True,ibmq_qasm_simulator
154,iris_class1_vs_class2,2,4,0.1,8,0.8,0.21089617609977723,True,ibmq_qasm_simulator
155,iris_class1_vs_class2,3,8,0.1,8,0.8,0.2423977553844452,True,ibmq_qasm_simulator
156,iris_class1_vs_class2,0,1,0.1,9,0.4,0.49996464401483537,False,ibmq_qasm_simulator
157,iris_class1_vs_class2,1,2,0.1,9,0.7,0.20742159336805344,True,ibmq_qasm_simulator
158,iris_class1_vs_class2,2,4,0.1,9,0.7,0.20674035251140593,True,ibmq_qasm_simulator
159,iris_class1_vs_class2,3,8,0.1,9,0.7,0.24193815141916275,True,ibmq_qasm_simulator
